date,OPU_index
9/1/1989,59.21151929
10/1/1989,127.3612276
11/1/1989,46.25081264
12/1/1989,39.50333335
1/1/1990,66.23893769
2/1/1990,21.38472588
3/1/1990,30.24857382
4/1/1990,40.40080822
5/1/1990,24.1310855
6/1/1990,11.37330612
7/1/1990,47.95838504
8/1/1990,470.6968626
9/1/1990,200.5730286
10/1/1990,315.2990335
11/1/1990,159.4072035
12/1/1990,126.7440192
1/1/1991,393.8583862
2/1/1991,146.9827719
3/1/1991,179.2053877
4/1/1991,46.92078143
5/1/1991,37.74562183
6/1/1991,37.15420518
7/1/1991,26.94123068
8/1/1991,61.4291754
9/1/1991,32.52016745
10/1/1991,16.84559508
11/1/1991,30.0577691
12/1/1991,10.26959016
1/1/1992,124.3892676
2/1/1992,39.72388719
3/1/1992,28.83625543
4/1/1992,29.56442404
5/1/1992,39.941456
6/1/1992,14.90849522
7/1/1992,25.60535842
8/1/1992,16.17724993
9/1/1992,30.44312206
10/1/1992,27.02587995
11/1/1992,9.436563894
12/1/1992,3.61804134
1/1/1993,30.35627686
2/1/1993,16.01459522
3/1/1993,22.14612155
4/1/1993,10.02831108
5/1/1993,26.19673485
6/1/1993,7.161625784
7/1/1993,37.25339303
8/1/1993,16.40121744
9/1/1993,12.86897696
10/1/1993,9.706227399
11/1/1993,71.04226848
12/1/1993,63.08139368
1/1/1994,11.99596365
2/1/1994,42.86859958
3/1/1994,30.68399146
4/1/1994,18.20911492
5/1/1994,34.96289025
6/1/1994,45.49366045
7/1/1994,33.67793027
8/1/1994,33.37716536
9/1/1994,15.37253851
10/1/1994,53.99180149
11/1/1994,18.95265706
12/1/1994,22.17783023
1/1/1995,8.45862604
2/1/1995,21.45027531
3/1/1995,15.28086871
4/1/1995,15.84680387
5/1/1995,21.05863867
6/1/1995,7.141522549
7/1/1995,6.913805202
8/1/1995,29.21950331
9/1/1995,20.46802202
10/1/1995,24.70956208
11/1/1995,19.75870206
12/1/1995,9.477600393
1/1/1996,10.42082085
2/1/1996,22.93820922
3/1/1996,37.09317603
4/1/1996,18.16121529
5/1/1996,49.16705509
6/1/1996,54.50893031
7/1/1996,42.94218938
8/1/1996,20.50290958
9/1/1996,19.62319438
10/1/1996,17.72133741
11/1/1996,14.1937027
12/1/1996,52.79149051
1/1/1997,25.63682744
2/1/1997,22.34237206
